id,station,task
1,Fry Station,Oil filtered and vats scrubbed
2,Fry Station,Backsplash degreased (zero carbon buildup)
3,Fry Station,Floor drains cleared of debris
4,Grill Station,Grates scraped and bricked to silver
5,Grill Station,Drip pans emptied and sanitized
6,Grill Station,Under-grill sweeps completed
7,Prep / Walk-in,"All open containers wrapped, dated, and labeled"
8,Prep / Walk-in,Floors swept and mopped
9,Prep / Walk-in,Trash receptacles emptied and relined
10,Line / Pass,Pass counter sanitized & heat lamps wiped down
11,Line / Pass,Refrigerated line drawers cleaned and restocked
12,Line / Pass,Cutting boards scrubbed and flipped
